Bild1 	 Gen1 	 Stage 	 Bild2 	 Gen2 	 Wert
insitu10026.png	"CG6897"	5880	insitu11081.png	"CG1140"	0.5188531126906856
insitu10026.png	"CG6897"	5880	insitu11100.png	"TMS1"	0.5073752651969502
insitu10026.png	"CG6897"	5880	insitu11101.png	"TMS1"	0.701884225710235
insitu10026.png	"CG6897"	5880	insitu11111.png	"CG6448"	0.6521023406969059
insitu10026.png	"CG6897"	5880	insitu11112.png	"CG6448"	0.7211377164451419
insitu10026.png	"CG6897"	5880	insitu11146.png	"CG31170"	0.7654804559174153
insitu10026.png	"CG6897"	5880	insitu11147.png	"CG31170"	0.7166727660176092
insitu10026.png	"CG6897"	5880	insitu11148.png	"CG31170"	0.8070516503207417
insitu10026.png	"CG6897"	5880	insitu11166.png	"CG15814"	0.654739208077398
insitu10026.png	"CG6897"	5880	insitu11173.png	"CG15814"	0.7134978820778293
insitu10026.png	"CG6897"	5880	insitu11178.png	"CG8818"	0.5624001935417114
insitu10026.png	"CG6897"	5880	insitu11194.png	"Bc"	-0.18193544357482996
insitu10026.png	"CG6897"	5880	insitu11222.png	"CG32654"	0.5659440452956812
insitu10026.png	"CG6897"	5880	insitu11223.png	"CG32654"	0.5797145163414031
insitu10026.png	"CG6897"	5880	insitu11234.png	"CG6415"	-0.2423331573142417
insitu10026.png	"CG6897"	5880	insitu11254.png	"CG5467"	0.12055840936493284
insitu10026.png	"CG6897"	5880	insitu11298.png	"CG9175"	0.6532330344750822
insitu10026.png	"CG6897"	5880	insitu11300.png	"mam"	0.675200231907177
insitu10026.png	"CG6897"	5880	insitu11316.png	"TM4SF"	0.1123170708272272
insitu10026.png	"CG6897"	5880	insitu11349.png	"CG7227"	-0.03221595571466578
insitu10026.png	"CG6897"	5880	insitu11350.png	"CG7227"	-0.10200777541979203
insitu10026.png	"CG6897"	5880	insitu11355.png	"CG8193"	-0.19476723103795815
insitu10026.png	"CG6897"	5880	insitu11371.png	"BG:DS02780.1"	-0.08531934226340443
insitu10026.png	"CG6897"	5880	insitu11372.png	"BG:DS02780.1"	-0.2134252644450758
insitu10026.png	"CG6897"	5880	insitu11420.png	"loco"	0.4783976766002024
insitu10026.png	"CG6897"	5880	insitu11421.png	"loco"	0.41862124529282696
insitu10026.png	"CG6897"	5880	insitu11443.png	"CG3962"	0.07529135969739512
insitu10026.png	"CG6897"	5880	insitu11459.png	"Lcch3"	-0.10572913766975878
insitu10026.png	"CG6897"	5880	insitu11469.png	"ry"	-0.3111113323170133
insitu10026.png	"CG6897"	5880	insitu11470.png	"ry"	-0.2371440289224318
insitu10026.png	"CG6897"	5880	insitu11471.png	"ry"	-0.19632401002778388
insitu10026.png	"CG6897"	5880	insitu11503.png	"CG6070"	0.7432862657621327
